run_id,planned_order,date,operator,mode,flow_level,nominal_dh_mm_min,nominal_Q_Lps,repetition,start_depth_m,end_depth_m,raw_subdir,piv_video_file,timelapse_video_file,waterlevel_file,runlog_file,piv_source,run_status,notes,exclude_flag
R0001,1,,,inflow,low,2.5,0.25,1,0.03,0.10,R0001,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0002,2,,,inflow,low,2.5,0.25,2,0.03,0.10,R0002,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0003,3,,,inflow,low,2.5,0.25,3,0.03,0.10,R0003,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0004,4,,,inflow,low,2.5,0.25,4,0.03,0.10,R0004,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0005,5,,,inflow,medium,5.0,0.50,1,0.03,0.10,R0005,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0006,6,,,inflow,medium,5.0,0.50,2,0.03,0.10,R0006,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0007,7,,,inflow,medium,5.0,0.50,3,0.03,0.10,R0007,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0008,8,,,inflow,medium,5.0,0.50,4,0.03,0.10,R0008,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0009,9,,,inflow,high,7.5,0.75,1,0.03,0.10,R0009,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0010,10,,,inflow,high,7.5,0.75,2,0.03,0.10,R0010,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0011,11,,,inflow,high,7.5,0.75,3,0.03,0.10,R0011,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0012,12,,,inflow,high,7.5,0.75,4,0.03,0.10,R0012,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0013,13,,,outflow,low,2.5,0.25,1,0.10,0.03,R0013,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0014,14,,,outflow,low,2.5,0.25,2,0.10,0.03,R0014,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0015,15,,,outflow,low,2.5,0.25,3,0.10,0.03,R0015,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0016,16,,,outflow,low,2.5,0.25,4,0.10,0.03,R0016,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0017,17,,,outflow,medium,5.0,0.50,1,0.10,0.03,R0017,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0018,18,,,outflow,medium,5.0,0.50,2,0.10,0.03,R0018,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0019,19,,,outflow,medium,5.0,0.50,3,0.10,0.03,R0019,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0020,20,,,outflow,medium,5.0,0.50,4,0.10,0.03,R0020,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0021,21,,,outflow,high,7.5,0.75,1,0.10,0.03,R0021,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0022,22,,,outflow,high,7.5,0.75,2,0.10,0.03,R0022,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0023,23,,,outflow,high,7.5,0.75,3,0.10,0.03,R0023,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
R0024,24,,,outflow,high,7.5,0.75,4,0.10,0.03,R0024,piv.mp4,timelapse.mp4,waterlevel.csv,runlog.md,pending,planned,,false
